question_id,system,rater,rater_profession,domain,score
1,ChatICU,R7,pharmacist,Clarity,5
1,ChatICU,R7,pharmacist,Comparison,4
1,ChatICU,R7,pharmacist,Confidence,5
1,ChatICU,R7,pharmacist,Relevance,5
1,ChatICU,R7,pharmacist,Safety,1
1,ChatICU,R7,pharmacist,Trust,5
1,ChatICU,R8,physician,Accuracy,4
1,ChatICU,R8,physician,Clarity,5
1,ChatICU,R8,physician,Comparison,3
1,ChatICU,R8,physician,Confidence,5
1,ChatICU,R8,physician,Relevance,5
1,ChatICU,R8,physician,Safety,1
1,ChatICU,R8,physician,Trust,5
1,OpenEvidence,R1,physician,Accuracy,5
1,OpenEvidence,R1,physician,Clarity,4
1,OpenEvidence,R1,physician,Comparison,3
1,OpenEvidence,R1,physician,Confidence,4
1,OpenEvidence,R1,physician,Relevance,5
1,OpenEvidence,R1,physician,Safety,1
1,OpenEvidence,R1,physician,Trust,5
1,OpenEvidence,R2,nurse,Accuracy,5
1,OpenEvidence,R2,nurse,Clarity,5
1,OpenEvidence,R2,nurse,Comparison,3
1,OpenEvidence,R2,nurse,Confidence,5
1,OpenEvidence,R2,nurse,Relevance,5
1,OpenEvidence,R2,nurse,Safety,1
1,OpenEvidence,R2,nurse,Trust,5
1,OpenEvidence,R3,pharmacist,Accuracy,3
1,OpenEvidence,R3,pharmacist,Clarity,4
1,OpenEvidence,R3,pharmacist,Comparison,3
1,OpenEvidence,R3,pharmacist,Confidence,4
1,OpenEvidence,R3,pharmacist,Relevance,4
1,OpenEvidence,R3,pharmacist,Safety,1
1,OpenEvidence,R3,pharmacist,Trust,4
1,OpenEvidence,R4,pharmacist,Accuracy,5
1,OpenEvidence,R4,pharmacist,Clarity,3
1,OpenEvidence,R4,pharmacist,Comparison,4
1,OpenEvidence,R4,pharmacist,Confidence,4
1,OpenEvidence,R4,pharmacist,Relevance,5
1,OpenEvidence,R4,pharmacist,Safety,1
1,OpenEvidence,R4,pharmacist,Trust,5
1,OpenEvidence,R5,pharmacist,Accuracy,5
1,OpenEvidence,R5,pharmacist,Clarity,2
1,OpenEvidence,R5,pharmacist,Comparison,3
1,OpenEvidence,R5,pharmacist,Confidence,5
1,OpenEvidence,R5,pharmacist,Relevance,5
1,OpenEvidence,R5,pharmacist,Safety,1
1,OpenEvidence,R5,pharmacist,Trust,5
1,OpenEvidence,R6,nurse,Accuracy,5
1,OpenEvidence,R6,nurse,Clarity,4
1,OpenEvidence,R6,nurse,Comparison,4
1,OpenEvidence,R6,nurse,Confidence,5
1,OpenEvidence,R6,nurse,Relevance,5
1,OpenEvidence,R6,nurse,Safety,1
1,OpenEvidence,R6,nurse,Trust,5
1,OpenEvidence,R7,pharmacist,Accuracy,5
1,OpenEvidence,R7,pharmacist,Clarity,5
1,OpenEvidence,R7,pharmacist,Comparison,4
1,OpenEvidence,R7,pharmacist,Confidence,5
1,OpenEvidence,R7,pharmacist,Relevance,5
1,OpenEvidence,R7,pharmacist,Safety,1
1,OpenEvidence,R7,pharmacist,Trust,5
1,OpenEvidence,R8,physician,Accuracy,5
1,OpenEvidence,R8,physician,Clarity,5
1,OpenEvidence,R8,physician,Comparison,4
1,OpenEvidence,R8,physician,Confidence,5
1,OpenEvidence,R8,physician,Relevance,5
1,OpenEvidence,R8,physician,Safety,1
1,OpenEvidence,R8,physician,Trust,5
10,ChatGPT,R1,physician,Accuracy,5
10,ChatGPT,R1,physician,Clarity,5
10,ChatGPT,R1,physician,Comparison,4
10,ChatGPT,R1,physician,Confidence,4
10,ChatGPT,R1,physician,Relevance,5
10,ChatGPT,R1,physician,Safety,1
10,ChatGPT,R1,physician,Trust,5
10,ChatGPT,R2,nurse,Accuracy,4
10,ChatGPT,R2,nurse,Clarity,4
10,ChatGPT,R2,nurse,Comparison,3
10,ChatGPT,R2,nurse,Confidence,4
10,ChatGPT,R2,nurse,Relevance,4
10,ChatGPT,R2,nurse,Safety,1
10,ChatGPT,R2,nurse,Trust,4
10,ChatGPT,R3,pharmacist,Accuracy,4
10,ChatGPT,R3,pharmacist,Clarity,4
10,ChatGPT,R3,pharmacist,Comparison,3
10,ChatGPT,R3,pharmacist,Confidence,3
10,ChatGPT,R3,pharmacist,Relevance,4
10,ChatGPT,R3,pharmacist,Safety,1
10,ChatGPT,R3,pharmacist,Trust,4
10,ChatGPT,R4,pharmacist,Accuracy,5
10,ChatGPT,R4,pharmacist,Clarity,5
10,ChatGPT,R4,pharmacist,Comparison,5
10,ChatGPT,R4,pharmacist,Confidence,4
10,ChatGPT,R4,pharmacist,Relevance,5
10,ChatGPT,R4,pharmacist,Safety,1
10,ChatGPT,R4,pharmacist,Trust,5
10,ChatGPT,R5,pharmacist,Accuracy,3
10,ChatGPT,R5,pharmacist,Clarity,5
10,ChatGPT,R5,pharmacist,Comparison,2
10,ChatGPT,R5,pharmacist,Confidence,5
10,ChatGPT,R5,pharmacist,Relevance,5
10,ChatGPT,R5,pharmacist,Safety,0
10,ChatGPT,R5,pharmacist,Trust,3
10,ChatGPT,R6,nurse,Accuracy,4
10,ChatGPT,R6,nurse,Clarity,4
10,ChatGPT,R6,nurse,Comparison,3
10,ChatGPT,R6,nurse,Confidence,4
10,ChatGPT,R6,nurse,Relevance,4
10,ChatGPT,R6,nurse,Safety,1
10,ChatGPT,R6,nurse,Trust,3
10,ChatGPT,R7,pharmacist,Accuracy,5
10,ChatGPT,R7,pharmacist,Clarity,5
10,ChatGPT,R7,pharmacist,Comparison,5
10,ChatGPT,R7,pharmacist,Confidence,5
10,ChatGPT,R7,pharmacist,Relevance,5
10,ChatGPT,R7,pharmacist,Safety,1
10,ChatGPT,R7,pharmacist,Trust,5
10,ChatGPT,R8,physician,Accuracy,5
10,ChatGPT,R8,physician,Clarity,5
10,ChatGPT,R8,physician,Comparison,4
10,ChatGPT,R8,physician,Confidence,5
10,ChatGPT,R8,physician,Relevance,5
10,ChatGPT,R8,physician,Safety,1
10,ChatGPT,R8,physician,Trust,5
10,ChatICU,R1,physician,Accuracy,5
10,ChatICU,R1,physician,Clarity,4
10,ChatICU,R1,physician,Comparison,3
10,ChatICU,R1,physician,Confidence,4
10,ChatICU,R1,physician,Relevance,5
10,ChatICU,R1,physician,Safety,1
10,ChatICU,R1,physician,Trust,4
10,ChatICU,R2,nurse,Accuracy,4
10,ChatICU,R2,nurse,Clarity,4
10,ChatICU,R2,nurse,Comparison,4
10,ChatICU,R2,nurse,Confidence,4
10,ChatICU,R2,nurse,Relevance,4
10,ChatICU,R2,nurse,Safety,1
10,ChatICU,R2,nurse,Trust,4
10,ChatICU,R3,pharmacist,Accuracy,4
10,ChatICU,R3,pharmacist,Clarity,4
10,ChatICU,R3,pharmacist,Comparison,3
10,ChatICU,R3,pharmacist,Confidence,3
10,ChatICU,R3,pharmacist,Relevance,4
10,ChatICU,R3,pharmacist,Safety,1
10,ChatICU,R3,pharmacist,Trust,4
10,ChatICU,R4,pharmacist,Accuracy,5
10,ChatICU,R4,pharmacist,Clarity,5
10,ChatICU,R4,pharmacist,Comparison,5
10,ChatICU,R4,pharmacist,Confidence,4
10,ChatICU,R4,pharmacist,Relevance,5
10,ChatICU,R4,pharmacist,Safety,1
10,ChatICU,R4,pharmacist,Trust,5
10,ChatICU,R5,pharmacist,Accuracy,5
10,ChatICU,R5,pharmacist,Clarity,5
10,ChatICU,R5,pharmacist,Comparison,5
10,ChatICU,R5,pharmacist,Confidence,5
10,ChatICU,R5,pharmacist,Relevance,5
10,ChatICU,R5,pharmacist,Safety,1
10,ChatICU,R5,pharmacist,Trust,5
10,ChatICU,R6,nurse,Accuracy,5
10,ChatICU,R6,nurse,Clarity,5
10,ChatICU,R6,nurse,Comparison,4
10,ChatICU,R6,nurse,Confidence,4
10,ChatICU,R6,nurse,Relevance,5
10,ChatICU,R6,nurse,Safety,1
10,ChatICU,R6,nurse,Trust,5
10,ChatICU,R7,pharmacist,Accuracy,5
10,ChatICU,R7,pharmacist,Clarity,5
10,ChatICU,R7,pharmacist,Comparison,4
10,ChatICU,R7,pharmacist,Confidence,5
10,ChatICU,R7,pharmacist,Relevance,5
10,ChatICU,R7,pharmacist,Safety,1
10,ChatICU,R7,pharmacist,Trust,5
10,ChatICU,R8,physician,Accuracy,5
10,ChatICU,R8,physician,Clarity,5
10,ChatICU,R8,physician,Comparison,4
10,ChatICU,R8,physician,Confidence,5
10,ChatICU,R8,physician,Relevance,5
10,ChatICU,R8,physician,Safety,1
10,ChatICU,R8,physician,Trust,5
10,OpenEvidence,R1,physician,Accuracy,5
10,OpenEvidence,R1,physician,Clarity,5
10,OpenEvidence,R1,physician,Comparison,4
10,OpenEvidence,R1,physician,Confidence,4
10,OpenEvidence,R1,physician,Relevance,5
10,OpenEvidence,R1,physician,Safety,1
10,OpenEvidence,R1,physician,Trust,5
10,OpenEvidence,R2,nurse,Accuracy,5
10,OpenEvidence,R2,nurse,Clarity,4
10,OpenEvidence,R2,nurse,Comparison,4
10,OpenEvidence,R2,nurse,Confidence,5
10,OpenEvidence,R2,nurse,Relevance,4
10,OpenEvidence,R2,nurse,Safety,1
10,OpenEvidence,R2,nurse,Trust,4
10,OpenEvidence,R3,pharmacist,Accuracy,4
10,OpenEvidence,R3,pharmacist,Clarity,4
10,OpenEvidence,R3,pharmacist,Comparison,3
10,OpenEvidence,R3,pharmacist,Confidence,3
10,OpenEvidence,R3,pharmacist,Relevance,4
10,OpenEvidence,R3,pharmacist,Safety,1
10,OpenEvidence,R3,pharmacist,Trust,4
10,OpenEvidence,R4,pharmacist,Accuracy,5
10,OpenEvidence,R4,pharmacist,Clarity,3
10,OpenEvidence,R4,pharmacist,Comparison,4
10,OpenEvidence,R4,pharmacist,Confidence,4
10,OpenEvidence,R4,pharmacist,Relevance,5
10,OpenEvidence,R4,pharmacist,Safety,1
10,OpenEvidence,R4,pharmacist,Trust,4
10,OpenEvidence,R5,pharmacist,Accuracy,5
10,OpenEvidence,R5,pharmacist,Clarity,5
10,OpenEvidence,R5,pharmacist,Comparison,4
10,OpenEvidence,R5,pharmacist,Confidence,5
10,OpenEvidence,R5,pharmacist,Relevance,5
10,OpenEvidence,R5,pharmacist,Safety,1
10,OpenEvidence,R5,pharmacist,Trust,5
10,OpenEvidence,R6,nurse,Accuracy,3
10,OpenEvidence,R6,nurse,Clarity,4
10,OpenEvidence,R6,nurse,Comparison,2
10,OpenEvidence,R6,nurse,Confidence,4
10,OpenEvidence,R6,nurse,Relevance,3
10,OpenEvidence,R6,nurse,Safety,1
10,OpenEvidence,R6,nurse,Trust,3
10,OpenEvidence,R7,pharmacist,Accuracy,5
10,OpenEvidence,R7,pharmacist,Clarity,5
10,OpenEvidence,R7,pharmacist,Comparison,4
10,OpenEvidence,R7,pharmacist,Confidence,5
10,OpenEvidence,R7,pharmacist,Relevance,5
10,OpenEvidence,R7,pharmacist,Safety,1
10,OpenEvidence,R7,pharmacist,Trust,5
10,OpenEvidence,R8,physician,Accuracy,5
10,OpenEvidence,R8,physician,Clarity,5
10,OpenEvidence,R8,physician,Comparison,4
10,OpenEvidence,R8,physician,Confidence,5
10,OpenEvidence,R8,physician,Relevance,5
10,OpenEvidence,R8,physician,Safety,1
10,OpenEvidence,R8,physician,Trust,5
11,ChatGPT,R1,physician,Accuracy,2
11,ChatGPT,R1,physician,Clarity,4
11,ChatGPT,R1,physician,Comparison,2
11,ChatGPT,R1,physician,Confidence,4
11,ChatGPT,R1,physician,Relevance,4
11,ChatGPT,R1,physician,Safety,0
11,ChatGPT,R1,physician,Trust,2
11,ChatGPT,R2,nurse,Accuracy,2
11,ChatGPT,R2,nurse,Clarity,3
11,ChatGPT,R2,nurse,Comparison,2
11,ChatGPT,R2,nurse,Confidence,3
11,ChatGPT,R2,nurse,Relevance,3
11,ChatGPT,R2,nurse,Safety,0
11,ChatGPT,R2,nurse,Trust,2
11,ChatGPT,R3,pharmacist,Accuracy,3
11,ChatGPT,R3,pharmacist,Clarity,4
11,ChatGPT,R3,pharmacist,Comparison,3
11,ChatGPT,R3,pharmacist,Confidence,3
11,ChatGPT,R3,pharmacist,Relevance,4
11,ChatGPT,R3,pharmacist,Safety,1
11,ChatGPT,R3,pharmacist,Trust,4
11,ChatGPT,R4,pharmacist,Accuracy,2
11,ChatGPT,R4,pharmacist,Clarity,4
11,ChatGPT,R4,pharmacist,Comparison,2
11,ChatGPT,R4,pharmacist,Confidence,3
11,ChatGPT,R4,pharmacist,Relevance,4
11,ChatGPT,R4,pharmacist,Safety,0
11,ChatGPT,R4,pharmacist,Trust,2
11,ChatGPT,R5,pharmacist,Accuracy,3
11,ChatGPT,R5,pharmacist,Clarity,3
11,ChatGPT,R5,pharmacist,Comparison,2
11,ChatGPT,R5,pharmacist,Confidence,4
11,ChatGPT,R5,pharmacist,Relevance,5
11,ChatGPT,R5,pharmacist,Safety,0
11,ChatGPT,R5,pharmacist,Trust,3
11,ChatGPT,R6,nurse,Accuracy,4
11,ChatGPT,R6,nurse,Clarity,4
11,ChatGPT,R6,nurse,Comparison,3
11,ChatGPT,R6,nurse,Confidence,4
11,ChatGPT,R6,nurse,Relevance,4
11,ChatGPT,R6,nurse,Safety,0
11,ChatGPT,R6,nurse,Trust,4
11,ChatGPT,R7,pharmacist,Accuracy,5
11,ChatGPT,R7,pharmacist,Clarity,5
11,ChatGPT,R7,pharmacist,Comparison,3
11,ChatGPT,R7,pharmacist,Confidence,5
11,ChatGPT,R7,pharmacist,Relevance,5
11,ChatGPT,R7,pharmacist,Safety,1
11,ChatGPT,R7,pharmacist,Trust,3
11,ChatGPT,R8,physician,Accuracy,5
11,ChatGPT,R8,physician,Clarity,5
11,ChatGPT,R8,physician,Comparison,4
11,ChatGPT,R8,physician,Confidence,5
11,ChatGPT,R8,physician,Relevance,5
11,ChatGPT,R8,physician,Safety,1
11,ChatGPT,R8,physician,Trust,5
11,ChatICU,R1,physician,Accuracy,5
11,ChatICU,R1,physician,Clarity,5
11,ChatICU,R1,physician,Comparison,3
11,ChatICU,R1,physician,Confidence,4
11,ChatICU,R1,physician,Relevance,5
11,ChatICU,R1,physician,Safety,1
11,ChatICU,R1,physician,Trust,5
11,ChatICU,R2,nurse,Accuracy,4
11,ChatICU,R2,nurse,Clarity,4
11,ChatICU,R2,nurse,Comparison,4
11,ChatICU,R2,nurse,Confidence,4
11,ChatICU,R2,nurse,Relevance,5
11,ChatICU,R2,nurse,Safety,1
11,ChatICU,R2,nurse,Trust,5
11,ChatICU,R3,pharmacist,Accuracy,4
11,ChatICU,R3,pharmacist,Clarity,4
11,ChatICU,R3,pharmacist,Comparison,3
11,ChatICU,R3,pharmacist,Confidence,3
11,ChatICU,R3,pharmacist,Relevance,4
11,ChatICU,R3,pharmacist,Safety,1
11,ChatICU,R3,pharmacist,Trust,4
11,ChatICU,R4,pharmacist,Accuracy,5
11,ChatICU,R4,pharmacist,Clarity,5
11,ChatICU,R4,pharmacist,Comparison,4
11,ChatICU,R4,pharmacist,Confidence,3
11,ChatICU,R4,pharmacist,Relevance,5
11,ChatICU,R4,pharmacist,Safety,1
11,ChatICU,R4,pharmacist,Trust,4
11,ChatICU,R5,pharmacist,Accuracy,5
11,ChatICU,R5,pharmacist,Clarity,5
11,ChatICU,R5,pharmacist,Comparison,3
11,ChatICU,R5,pharmacist,Confidence,5
11,ChatICU,R5,pharmacist,Relevance,5
11,ChatICU,R5,pharmacist,Safety,1
11,ChatICU,R5,pharmacist,Trust,5
11,ChatICU,R6,nurse,Accuracy,5
11,ChatICU,R6,nurse,Clarity,5
11,ChatICU,R6,nurse,Comparison,4
11,ChatICU,R6,nurse,Confidence,4
11,ChatICU,R6,nurse,Relevance,5
11,ChatICU,R6,nurse,Safety,1
11,ChatICU,R6,nurse,Trust,5
11,ChatICU,R7,pharmacist,Accuracy,5
11,ChatICU,R7,pharmacist,Clarity,5
11,ChatICU,R7,pharmacist,Comparison,5
11,ChatICU,R7,pharmacist,Confidence,5
11,ChatICU,R7,pharmacist,Relevance,5
11,ChatICU,R7,pharmacist,Safety,1
11,ChatICU,R7,pharmacist,Trust,5
11,ChatICU,R8,physician,Accuracy,5
11,ChatICU,R8,physician,Clarity,5
11,ChatICU,R8,physician,Comparison,3
11,ChatICU,R8,physician,Confidence,5
11,ChatICU,R8,physician,Relevance,5
11,ChatICU,R8,physician,Safety,1
11,ChatICU,R8,physician,Trust,5
11,OpenEvidence,R1,physician,Accuracy,2
11,OpenEvidence,R1,physician,Clarity,4
11,OpenEvidence,R1,physician,Comparison,2
11,OpenEvidence,R1,physician,Confidence,4
11,OpenEvidence,R1,physician,Relevance,4
11,OpenEvidence,R1,physician,Safety,0
11,OpenEvidence,R1,physician,Trust,2
11,OpenEvidence,R2,nurse,Accuracy,2
11,OpenEvidence,R2,nurse,Clarity,3
11,OpenEvidence,R2,nurse,Comparison,2
11,OpenEvidence,R2,nurse,Confidence,2
11,OpenEvidence,R2,nurse,Relevance,3
11,OpenEvidence,R2,nurse,Safety,0
11,OpenEvidence,R2,nurse,Trust,2
11,OpenEvidence,R3,pharmacist,Accuracy,3
11,OpenEvidence,R3,pharmacist,Clarity,4
11,OpenEvidence,R3,pharmacist,Comparison,4
11,OpenEvidence,R3,pharmacist,Confidence,2
11,OpenEvidence,R3,pharmacist,Relevance,3
11,OpenEvidence,R3,pharmacist,Safety,1
11,OpenEvidence,R3,pharmacist,Trust,4
11,OpenEvidence,R4,pharmacist,Accuracy,2
11,OpenEvidence,R4,pharmacist,Clarity,4
11,OpenEvidence,R4,pharmacist,Comparison,3
11,OpenEvidence,R4,pharmacist,Confidence,3
11,OpenEvidence,R4,pharmacist,Relevance,3
11,OpenEvidence,R4,pharmacist,Safety,0
11,OpenEvidence,R4,pharmacist,Trust,2
11,OpenEvidence,R5,pharmacist,Accuracy,3
11,OpenEvidence,R5,pharmacist,Clarity,3
11,OpenEvidence,R5,pharmacist,Comparison,2
11,OpenEvidence,R5,pharmacist,Confidence,4
11,OpenEvidence,R5,pharmacist,Relevance,5
11,OpenEvidence,R5,pharmacist,Safety,0
11,OpenEvidence,R5,pharmacist,Trust,3
11,OpenEvidence,R6,nurse,Accuracy,4
11,OpenEvidence,R6,nurse,Clarity,4
11,OpenEvidence,R6,nurse,Comparison,2
11,OpenEvidence,R6,nurse,Confidence,4
11,OpenEvidence,R6,nurse,Relevance,3
11,OpenEvidence,R6,nurse,Safety,0
11,OpenEvidence,R6,nurse,Trust,3
11,OpenEvidence,R7,pharmacist,Accuracy,5
11,OpenEvidence,R7,pharmacist,Clarity,5
11,OpenEvidence,R7,pharmacist,Comparison,2
11,OpenEvidence,R7,pharmacist,Confidence,5
11,OpenEvidence,R7,pharmacist,Relevance,5
11,OpenEvidence,R7,pharmacist,Safety,1
11,OpenEvidence,R7,pharmacist,Trust,3
11,OpenEvidence,R8,physician,Accuracy,5
11,OpenEvidence,R8,physician,Clarity,5
11,OpenEvidence,R8,physician,Comparison,4
11,OpenEvidence,R8,physician,Confidence,5
11,OpenEvidence,R8,physician,Relevance,5
11,OpenEvidence,R8,physician,Safety,1
11,OpenEvidence,R8,physician,Trust,5
12,ChatGPT,R1,physician,Accuracy,2
12,ChatGPT,R1,physician,Clarity,3
12,ChatGPT,R1,physician,Comparison,2
12,ChatGPT,R1,physician,Confidence,4
12,ChatGPT,R1,physician,Relevance,4
12,ChatGPT,R1,physician,Safety,0
12,ChatGPT,R1,physician,Trust,2
12,ChatGPT,R2,nurse,Accuracy,2
12,ChatGPT,R2,nurse,Clarity,2
12,ChatGPT,R2,nurse,Comparison,2
12,ChatGPT,R2,nurse,Confidence,2
12,ChatGPT,R2,nurse,Relevance,2
12,ChatGPT,R2,nurse,Safety,0
12,ChatGPT,R2,nurse,Trust,2
12,ChatGPT,R3,pharmacist,Accuracy,3
12,ChatGPT,R3,pharmacist,Clarity,3
12,ChatGPT,R3,pharmacist,Comparison,3
12,ChatGPT,R3,pharmacist,Confidence,3
12,ChatGPT,R3,pharmacist,Relevance,3
12,ChatGPT,R3,pharmacist,Safety,1
12,ChatGPT,R3,pharmacist,Trust,3
12,ChatGPT,R4,pharmacist,Accuracy,4
12,ChatGPT,R4,pharmacist,Clarity,5
12,ChatGPT,R4,pharmacist,Comparison,3
12,ChatGPT,R4,pharmacist,Confidence,3
12,ChatGPT,R4,pharmacist,Relevance,5
12,ChatGPT,R4,pharmacist,Safety,1
12,ChatGPT,R4,pharmacist,Trust,4
12,ChatGPT,R5,pharmacist,Accuracy,3
12,ChatGPT,R5,pharmacist,Clarity,5
12,ChatGPT,R5,pharmacist,Comparison,2
12,ChatGPT,R5,pharmacist,Confidence,4
12,ChatGPT,R5,pharmacist,Relevance,5
12,ChatGPT,R5,pharmacist,Safety,0
12,ChatGPT,R5,pharmacist,Trust,3
12,ChatGPT,R6,nurse,Accuracy,5
12,ChatGPT,R6,nurse,Clarity,5
12,ChatGPT,R6,nurse,Comparison,4
12,ChatGPT,R6,nurse,Confidence,4
12,ChatGPT,R6,nurse,Relevance,5
12,ChatGPT,R6,nurse,Safety,1
12,ChatGPT,R6,nurse,Trust,5
12,ChatGPT,R7,pharmacist,Accuracy,5
12,ChatGPT,R7,pharmacist,Clarity,5
12,ChatGPT,R7,pharmacist,Comparison,5
12,ChatGPT,R7,pharmacist,Confidence,5
12,ChatGPT,R7,pharmacist,Relevance,5
12,ChatGPT,R7,pharmacist,Safety,1
12,ChatGPT,R7,pharmacist,Trust,5
12,ChatGPT,R8,physician,Accuracy,5
12,ChatGPT,R8,physician,Clarity,5
12,ChatGPT,R8,physician,Comparison,4
12,ChatGPT,R8,physician,Confidence,5
12,ChatGPT,R8,physician,Relevance,5
12,ChatGPT,R8,physician,Safety,1
12,ChatGPT,R8,physician,Trust,5
12,ChatICU,R1,physician,Accuracy,3
12,ChatICU,R1,physician,Clarity,4
12,ChatICU,R1,physician,Comparison,2
12,ChatICU,R1,physician,Confidence,4
12,ChatICU,R1,physician,Relevance,4
12,ChatICU,R1,physician,Safety,1
12,ChatICU,R1,physician,Trust,3
12,ChatICU,R2,nurse,Accuracy,4
12,ChatICU,R2,nurse,Clarity,4
12,ChatICU,R2,nurse,Comparison,4
12,ChatICU,R2,nurse,Confidence,4
12,ChatICU,R2,nurse,Relevance,4
12,ChatICU,R2,nurse,Safety,1
12,ChatICU,R2,nurse,Trust,4
12,ChatICU,R3,pharmacist,Accuracy,4
12,ChatICU,R3,pharmacist,Clarity,4
12,ChatICU,R3,pharmacist,Comparison,3
12,ChatICU,R3,pharmacist,Confidence,3
12,ChatICU,R3,pharmacist,Relevance,4
12,ChatICU,R3,pharmacist,Safety,1
12,ChatICU,R3,pharmacist,Trust,4
12,ChatICU,R4,pharmacist,Accuracy,5
12,ChatICU,R4,pharmacist,Clarity,5
12,ChatICU,R4,pharmacist,Comparison,2
12,ChatICU,R4,pharmacist,Confidence,3
12,ChatICU,R4,pharmacist,Relevance,5
12,ChatICU,R4,pharmacist,Safety,1
12,ChatICU,R4,pharmacist,Trust,5
12,ChatICU,R5,pharmacist,Accuracy,4
12,ChatICU,R5,pharmacist,Clarity,5
12,ChatICU,R5,pharmacist,Comparison,2
12,ChatICU,R5,pharmacist,Confidence,5
