question_id,system,blind_id,core_correctness,hallucination,semantic_fidelity,tfidf_cosine,char_length,dim_drug_choice,dim_deescalation_stop_rule,dim_interaction_contraindication,dim_route_formulation,dim_organ_function_adjustment,dim_titration_target,dim_monitoring_parameter,dim_drug_choice_severity,dim_deescalation_stop_rule_severity,dim_interaction_contraindication_severity,dim_route_formulation_severity,dim_organ_function_adjustment_severity,dim_titration_target_severity,dim_monitoring_parameter_severity,n_dose_mentions,n_omitted_but_needed,n_hallucinated_statements
13,OpenEvidence,B119,partially_correct,1,45,0.1274249944465226,2463,incorrect,incorrect,incorrect,not_applicable,not_applicable,incorrect,adequate,Moderate,Moderate,Mild,,,Mild,,1,1,2
14,ChatGPT,B139,incorrect,1,25,0.2282972704035113,1370,incorrect,incorrect,not_applicable,not_applicable,not_applicable,incorrect,adequate,Moderate,Moderate,,,,Mild,,1,2,2
14,ChatICU,B006,fully_correct,0,90,0.2978266726342232,904,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,1,1,0
14,OpenEvidence,B137,partially_correct,1,40,0.1660803933065638,3411,unsafe,unsafe,adequate,adequate,adequate,adequate,adequate,Severe,Severe,,,,,,2,1,2
15,ChatGPT,B155,fully_correct,0,100,0.1893294373526087,1503,adequate,adequate,not_applicable,adequate,adequate,adequate,adequate,,,,,,,,0,0,0
15,ChatICU,B054,fully_correct,0,92,0.2129473980199835,1251,adequate,incorrect,not_applicable,adequate,not_applicable,not_applicable,not_applicable,,Mild,,,,,,0,1,0
15,OpenEvidence,B113,fully_correct,0,85,0.1418743285859675,1301,adequate,adequate,not_applicable,adequate,not_applicable,adequate,adequate,,,,,,,,2,0,0
16,ChatGPT,B005,incorrect,1,30,0.2365271345410451,1149,not_applicable,incorrect,not_applicable,not_applicable,not_applicable,incorrect,adequate,,Moderate,,,,Moderate,,0,1,2
16,ChatICU,B154,fully_correct,0,88,0.1946511612195317,878,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,incorrect,,,,,,,Mild,1,1,0
16,OpenEvidence,B040,fully_correct,1,80,0.1323502753566644,1144,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,incorrect,,,,,,,Mild,4,1,1
17,ChatGPT,B131,fully_correct,0,85,0.318189042444038,1306,adequate,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,0,0,0
17,ChatICU,B144,fully_correct,0,95,0.4165013156464252,738,adequate,adequate,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,,,,,0,0,0
17,OpenEvidence,B145,partially_correct,1,55,0.2011546322046222,2397,incorrect,adequate,adequate,not_applicable,not_applicable,not_applicable,incorrect,Mild,,,,,,Mild,0,1,2
18,ChatGPT,B126,fully_correct,1,85,0.1124266115638906,1359,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,2,0,3
18,ChatICU,B132,fully_correct,0,92,0.2305231555385422,878,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,1,0,0
18,OpenEvidence,B105,fully_correct,0,92,0.0976108642694454,2323,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,2,0,0
19,ChatGPT,B079,fully_correct,0,80,0.1595219698455311,1496,adequate,adequate,adequate,not_applicable,not_applicable,incorrect,adequate,,,,,,Mild,,0,1,0
19,ChatICU,B048,fully_correct,0,92,0.2360711828838378,851,adequate,adequate,not_applicable,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,0,0,0
19,OpenEvidence,B204,partially_correct,0,55,0.1689928803273665,2987,incorrect,adequate,adequate,not_applicable,not_applicable,adequate,adequate,Moderate,,,,,,,1,1,0
20,ChatGPT,B015,fully_correct,0,96,0.2066813066269763,1512,not_applicable,adequate,adequate,not_applicable,not_applicable,adequate,adequate,,,,,,,,0,0,0
20,ChatICU,B014,fully_correct,0,95,0.341734128987307,880,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,0,0,0
20,OpenEvidence,B129,fully_correct,1,88,0.1965598208313086,3374,not_applicable,adequate,adequate,not_applicable,not_applicable,adequate,adequate,,,,,,,,0,0,2
21,ChatGPT,B175,fully_correct,0,80,0.2501714307976757,1289,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,0,2,0
21,ChatICU,B084,fully_correct,0,75,0.3197954456423673,792,adequate,not_applicable,adequate,not_applicable,not_applicable,not_applicable,not_applicable,,,,,,,,0,2,0
21,OpenEvidence,B195,partially_correct,1,40,0.2399480156057755,2627,incorrect,adequate,not_applicable,not_applicable,not_applicable,not_applicable,incorrect,Moderate,,,,,,Mild,2,2,2
22,ChatGPT,B080,fully_correct,0,85,0.2022866623857148,1514,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,0,0,0
22,ChatICU,B116,fully_correct,0,90,0.5583984907541547,910,adequate,adequate,not_applicable,not_applicable,adequate,adequate,adequate,,,,,,,,0,0,0
22,OpenEvidence,B065,fully_correct,1,85,0.1634480220158533,1902,adequate,incorrect,not_applicable,not_applicable,not_applicable,adequate,adequate,,Mild,,,,,,2,0,1
23,ChatGPT,B109,partially_correct,0,60,0.2085544472299755,1499,not_applicable,incorrect,adequate,not_applicable,not_applicable,adequate,adequate,,Mild,,,,,,1,1,0
23,ChatICU,B180,fully_correct,0,95,0.534106876266965,913,not_applicable,adequate,adequate,not_applicable,not_applicable,adequate,adequate,,,,,,,,1,0,0
23,OpenEvidence,B136,partially_correct,1,65,0.2506102406430694,2464,adequate,incorrect,not_applicable,not_applicable,adequate,incorrect,adequate,,Mild,,,,Mild,,1,1,1
24,ChatGPT,B045,fully_correct,0,100,0.3531315595722711,1287,not_applicable,adequate,not_applicable,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,0,0,0
24,ChatICU,B141,fully_correct,0,100,0.3988839192903031,1108,adequate,adequate,not_applicable,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,0,0,0
24,OpenEvidence,B012,fully_correct,1,95,0.3743526569029647,2172,adequate,adequate,not_applicable,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,0,0,1
25,ChatGPT,B122,partially_correct,0,78,0.2692187156974733,1252,not_applicable,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,1,2,0
25,ChatICU,B056,fully_correct,0,92,0.2423208301663854,1240,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,3,0,0
25,OpenEvidence,B027,fully_correct,1,85,0.2767071741089079,2495,not_applicable,adequate,not_applicable,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,3,0,3
26,ChatGPT,B187,partially_correct,1,60,0.1802314157442181,1383,not_applicable,adequate,not_applicable,not_applicable,not_applicable,not_applicable,incorrect,,,,,,,Mild,3,1,1
26,ChatICU,B037,fully_correct,0,100,0.2991662190278022,953,adequate,adequate,not_applicable,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,4,0,0
26,OpenEvidence,B061,partially_correct,1,55,0.2205065700686829,750,not_applicable,adequate,not_applicable,not_applicable,adequate,not_applicable,adequate,,,,,,,,1,0,4
27,ChatGPT,B199,partially_correct,1,55,0.0916657671532602,1663,incorrect,adequate,incorrect,adequate,adequate,adequate,adequate,Mild,,Moderate,,,,,5,4,1
27,ChatICU,B150,partially_correct,1,70,0.2525312325553671,1326,adequate,incorrect,incorrect,adequate,incorrect,incorrect,adequate,,Moderate,Moderate,,Mild,Mild,,7,5,2
27,OpenEvidence,B189,partially_correct,1,30,0.0674747959855413,2732,incorrect,adequate,incorrect,incorrect,adequate,incorrect,adequate,Moderate,,Mild,Mild,,Mild,,4,5,3
28,ChatGPT,B201,fully_correct,0,95,0.2798090565241187,1457,not_applicable,not_applicable,adequate,not_applicable,adequate,not_applicable,adequate,,,,,,,,0,1,0
28,ChatICU,B025,fully_correct,1,70,0.3280849493719071,946,adequate,not_applicable,adequate,not_applicable,adequate,not_applicable,not_applicable,,,,,,,,0,2,2
28,OpenEvidence,B202,partially_correct,1,60,0.2644838645871283,2053,adequate,adequate,incorrect,adequate,adequate,not_applicable,adequate,,,Mild,,,,,0,3,2
29,ChatGPT,B069,fully_correct,0,92,0.3429511209467161,1568,adequate,not_applicable,adequate,adequate,adequate,not_applicable,adequate,,,,,,,,0,1,0
29,ChatICU,B193,fully_correct,1,88,0.3756830805488753,1055,adequate,adequate,adequate,not_applicable,adequate,adequate,adequate,,,,,,,,5,0,5
29,OpenEvidence,B091,fully_correct,1,78,0.3012934138883343,1022,not_applicable,not_applicable,adequate,adequate,adequate,adequate,adequate,,,,,,,,1,2,2
30,ChatGPT,B095,partially_correct,1,75,0.3716404914891604,1669,incorrect,adequate,adequate,not_applicable,adequate,not_applicable,incorrect,Mild,,,,,,Mild,0,1,1
30,ChatICU,B087,fully_correct,0,100,0.4606378606720851,1009,adequate,adequate,adequate,not_applicable,adequate,not_applicable,adequate,,,,,,,,2,0,0
30,OpenEvidence,B018,partially_correct,1,70,0.3903509852327685,1213,incorrect,not_applicable,incorrect,not_applicable,adequate,not_applicable,incorrect,Mild,,Mild,,,,Mild,0,2,2
31,ChatGPT,B049,fully_correct,1,85,0.4114878554548446,1680,adequate,not_applicable,adequate,not_applicable,adequate,adequate,adequate,,,,,,,,7,1,2
31,ChatICU,B007,partially_correct,1,65,0.4244676692012266,1044,adequate,not_applicable,incorrect,not_applicable,adequate,not_applicable,adequate,,,Moderate,,,,,9,1,1
31,OpenEvidence,B134,partially_correct,1,65,0.4339123406731884,1064,incorrect,not_applicable,adequate,not_applicable,adequate,not_applicable,adequate,Mild,,,,,,,0,2,1
32,ChatGPT,B098,partially_correct,1,30,0.2350869845110991,2085,adequate,not_applicable,not_applicable,adequate,adequate,adequate,incorrect,,,,,,,Moderate,1,11,2
32,ChatICU,B146,partially_correct,1,65,0.2023874109182123,888,adequate,adequate,incorrect,adequate,adequate,not_applicable,not_applicable,,,Mild,,,,,9,2,1
32,OpenEvidence,B060,incorrect,1,5,0.0657883852452285,791,not_applicable,incorrect,not_applicable,not_applicable,incorrect,not_applicable,incorrect,,Mild,,,Mild,,Mild,0,9,2
33,ChatGPT,B019,fully_correct,0,88,0.2961339889641052,1777,not_applicable,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,1,1,0
33,ChatICU,B062,fully_correct,0,90,0.3121376350478019,1189,not_applicable,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,1,0,0
33,OpenEvidence,B114,fully_correct,0,88,0.3616295015630815,1510,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,incorrect,,,,,,,Mild,0,1,0
34,ChatGPT,B004,fully_correct,0,80,0.2978097084621493,1721,adequate,adequate,adequate,adequate,adequate,adequate,adequate,,,,,,,,2,3,0
34,ChatICU,B093,fully_correct,1,85,0.3004971589493313,1180,adequate,not_applicable,incorrect,adequate,incorrect,incorrect,adequate,,,Mild,,Mild,Moderate,,7,1,4
34,OpenEvidence,B106,partially_correct,1,45,0.1293791565322158,1327,incorrect,not_applicable,incorrect,incorrect,incorrect,adequate,incorrect,Moderate,,Moderate,Mild,Moderate,,Moderate,5,3,4
35,ChatGPT,B194,partially_correct,1,55,0.1882151857005007,1579,adequate,adequate,adequate,adequate,incorrect,incorrect,adequate,,,,,Moderate,Moderate,,3,4,1
35,ChatICU,B001,partially_correct,1,70,0.3249422482815486,1172,adequate,not_applicable,adequate,adequate,incorrect,adequate,adequate,,,,,Moderate,,,4,2,1
35,OpenEvidence,B066,partially_correct,1,45,0.0830231056191143,1278,adequate,not_applicable,adequate,incorrect,incorrect,adequate,adequate,,,,Mild,Moderate,,,3,4,3
36,ChatGPT,B099,fully_correct,0,80,0.3231213431630335,1579,adequate,not_applicable,adequate,adequate,incorrect,adequate,adequate,,,,,Mild,,,1,2,0
36,ChatICU,B083,fully_correct,0,95,0.2234754101001037,1269,adequate,not_applicable,adequate,adequate,incorrect,adequate,adequate,,,,,Mild,,,6,0,0
36,OpenEvidence,B043,fully_correct,1,78,0.3168087560063971,2289,adequate,not_applicable,adequate,adequate,incorrect,incorrect,adequate,,,,,Mild,Moderate,,2,1,2
37,ChatGPT,B117,fully_correct,0,92,0.2918634827689146,1672,adequate,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,,,,,,,,2,2,0
37,ChatICU,B029,fully_correct,0,92,0.3295335075716267,1210,adequate,adequate,adequate,not_applicable,not_applicable,adequate,adequate,,,,,,,,4,3,0
37,OpenEvidence,B110,partially_correct,1,55,0.2314756347760673,2674,incorrect,adequate,not_applicable,not_applicable,not_applicable,incorrect,adequate,Mild,,,,,Mild,,0,4,1
C1,ChatGPT,B186,fully_correct,0,95,0.1001045918655598,1570,adequate,adequate,not_applicable,adequate,adequate,adequate,adequate,,,,,,,,0,0,0
C1,ChatICU,B166,fully_correct,0,90,0.2809845681578539,468,adequate,not_applicable,not_applicable,adequate,not_applicable,adequate,adequate,,,,,,,,1,0,0
C1,OpenEvidence,B156,partially_correct,1,45,0.0515441818822453,1808,adequate,incorrect,adequate,adequate,adequate,incorrect,adequate,,Moderate,,,,Moderate,,2,2,2
C2,ChatGPT,B196,partially_correct,1,55,0.3088753986693601,1540,adequate,adequate,incorrect,adequate,incorrect,adequate,adequate,,,Mild,,Moderate,,,5,2,1
C2,ChatICU,B086,fully_correct,1,80,0.2364617106249896,1230,adequate,adequate,adequate,adequate,adequate,incorrect,adequate,,,,,,Mild,,4,1,2
C2,OpenEvidence,B135,partially_correct,1,45,0.2089673051768042,2308,adequate,not_applicable,adequate,adequate,incorrect,incorrect,adequate,,,,,Moderate,Mild,,4,4,4
C3,ChatGPT,B111,partially_correct,1,65,0.2474135898795997,1650,adequate,adequate,adequate,adequate,incorrect,incorrect,adequate,,,,,Mild,Mild,,3,3,1
C3,ChatICU,B003,partially_correct,1,72,0.2887189361906328,1270,adequate,not_applicable,not_applicable,adequate,incorrect,adequate,adequate,,,,,Moderate,,,4,1,1
C3,OpenEvidence,B041,partially_correct,1,45,0.2124438231694967,3489,incorrect,not_applicable,adequate,adequate,incorrect,incorrect,adequate,Moderate,,,,Moderate,Moderate,,5,3,3
C4,ChatGPT,B002,fully_correct,0,85,0.2007038280654312,1396,adequate,adequate,adequate,not_applicable,incorrect,adequate,adequate,,,,,Mild,,,3,1,0
C4,ChatICU,B096,fully_correct,0,95,0.3371339980924042,1160,adequate,adequate,adequate,adequate,adequate,adequate,adequate,,,,,,,,5,0,0
C4,OpenEvidence,B070,fully_correct,1,85,0.1736833470940608,1450,adequate,adequate,not_applicable,not_applicable,adequate,adequate,adequate,,,,,,,,1,0,4
C5,ChatGPT,B123,fully_correct,1,90,0.4104189482756203,1259,not_applicable,not_applicable,adequate,not_applicable,not_applicable,not_applicable,not_applicable,,,,,,,,0,0,1
C5,ChatICU,B118,fully_correct,1,92,0.3375393969308933,869,adequate,not_applicable,adequate,not_applicable,not_applicable,not_applicable,adequate,,,,,,,,0,0,1
C5,OpenEvidence,B167,fully_correct,0,95,0.3158173001573154,1168,not_applicable,not_applicable,not_applicable,not_applicable,adequate,not_applicable,adequate,,,,,,,,0,0,0
C6,ChatGPT,B046,fully_correct,1,85,0.2203004146124252,2243,adequate,adequate,adequate,adequate,adequate,adequate,adequate,,,,,,,,3,0,1
C6,ChatICU,B039,fully_correct,0,96,0.2798663543544036,1211,adequate,not_applicable,adequate,not_applicable,adequate,adequate,adequate,,,,,,,,0,0,0
C6,OpenEvidence,B042,partially_correct,1,60,0.2013778564433206,4041,adequate,incorrect,adequate,not_applicable,adequate,incorrect,adequate,,Mild,,,,Mild,,0,2,1
C7,ChatGPT,B024,fully_correct,0,95,0.2807375866474143,1391,adequate,adequate,adequate,not_applicable,adequate,adequate,adequate,,,,,,,,1,0,0
C7,ChatICU,B153,fully_correct,0,95,0.3400075779624393,1210,adequate,not_applicable,adequate,not_applicable,adequate,not_applicable,not_applicable,,,,,,,,0,0,0
C7,OpenEvidence,B164,fully_correct,1,85,0.2758930052060127,2438,adequate,incorrect,adequate,adequate,adequate,incorrect,adequate,,Mild,,,,Mild,,1,0,2
C8,ChatGPT,B176,partially_correct,1,40,0.2851016748660197,1564,adequate,adequate,not_applicable,adequate,incorrect,incorrect,adequate,,,,,Moderate,Moderate,,6,4,2
C8,ChatICU,B200,partially_correct,1,78,0.3449178133988901,1199,adequate,adequate,not_applicable,adequate,adequate,adequate,adequate,,,,,,,,7,0,1
C8,OpenEvidence,B151,incorrect,1,20,0.2919201469836578,758,adequate,incorrect,incorrect,unsafe,unsafe,unsafe,adequate,,Moderate,Mild,Severe,Severe,Severe,,6,4,4
C9,ChatGPT,B102,partially_correct,0,65,0.3383665937285988,1517,not_applicable,adequate,not_applicable,not_applicable,adequate,incorrect,incorrect,,,,,,Mild,Mild,3,1,0
C9,ChatICU,B152,fully_correct,0,97,0.2480675593747508,958,adequate,adequate,not_applicable,adequate,not_applicable,adequate,adequate,,,,,,,,2,1,0
C9,OpenEvidence,B097,partially_correct,1,55,0.27012422426613,941,adequate,incorrect,adequate,not_applicable,incorrect,incorrect,adequate,,Mild,,,Mild,Moderate,,3,3,6
C10,ChatGPT,B161,fully_correct,0,95,0.2381996298239546,1326,adequate,not_applicable,adequate,adequate,not_applicable,not_applicable,adequate,,,,,,,,0,0,0
C10,ChatICU,B047,fully_correct,0,95,0.1989021280998058,512,adequate,not_applicable,adequate,adequate,not_applicable,not_applicable,adequate,,,,,,,,0,0,0
C10,OpenEvidence,B173,fully_correct,1,80,0.1983903659906758,1639,adequate,not_applicable,incorrect,adequate,not_applicable,not_applicable,adequate,,,Mild,,,,,0,0,2
C11,ChatGPT,B190,fully_correct,1,85,0.1997619678256257,1307,adequate,not_applicable,incorrect,adequate,not_applicable,not_applicable,adequate,,,Mild,,,,,0,0,1
C11,ChatICU,B051,fully_correct,0,95,0.2702613053711146,524,adequate,not_applicable,adequate,adequate,not_applicable,not_applicable,adequate,,,,,,,,0,0,0
C11,OpenEvidence,B120,fully_correct,0,80,0.1504579938928996,860,adequate,not_applicable,adequate,adequate,adequate,not_applicable,adequate,,,,,,,,0,0,0
C12,ChatGPT,B162,fully_correct,1,80,0.1909134751725715,1531,adequate,not_applicable,not_applicable,adequate,not_applicable,not_applicable,adequate,,,,,,,,2,2,4
C12,ChatICU,B081,fully_correct,0,100,0.4230352809236374,478,not_applicable,not_applicable,not_applicable,adequate,not_applicable,not_applicable,adequate,,,,,,,,3,0,0
C12,OpenEvidence,B138,fully_correct,1,78,0.2637754533460045,1590,not_applicable,not_applicable,incorrect,adequate,not_applicable,not_applicable,not_applicable,,,Mild,,,,,6,0,3
C13,ChatGPT,B035,incorrect,1,20,0.2103712485588998,1245,not_applicable,incorrect,not_applicable,not_applicable,adequate,not_applicable,adequate,,Moderate,,,,,,0,1,2
C13,ChatICU,B078,fully_correct,1,95,0.2801018448014595,975,adequate,adequate,adequate,not_applicable,adequate,not_applicable,incorrect,,,,,,,Mild,0,1,1
C13,OpenEvidence,B160,incorrect,1,20,0.2594298401869702,2217,adequate,incorrect,adequate,not_applicable,adequate,adequate,adequate,,Moderate,,,,,,2,1,4
C14,ChatGPT,B068,partially_correct,1,72,0.3409236504007919,1935,adequate,not_applicable,incorrect,not_applicable,not_applicable,not_applicable,adequate,,,Mild,,,,,0,0,2
C14,ChatICU,B108,partially_correct,1,72,0.3578537580929701,1169,adequate,adequate,incorrect,not_applicable,not_applicable,adequate,incorrect,,,Mild,,,,Mild,3,1,1
C14,OpenEvidence,B064,partially_correct,1,50,0.2990542588977909,2095,not_applicable,not_applicable,incorrect,not_applicable,adequate,not_applicable,adequate,,,Moderate,,,,,0,2,1
C15,ChatGPT,B168,partially_correct,0,55,0.2281542408993646,1815,incorrect,adequate,adequate,not_applicable,adequate,adequate,adequate,Moderate,,,,,,,3,3,0
C15,ChatICU,B067,partially_correct,1,68,0.3214279347767989,1648,adequate,incorrect,adequate,not_applicable,not_applicable,not_applicable,adequate,,Mild,,,,,,2,0,2
C15,OpenEvidence,B149,partially_correct,1,62,0.2466746355825836,3978,incorrect,incorrect,incorrect,not_applicable,adequate,adequate,adequate,Mild,Moderate,Mild,,,,,1,2,1
C16,ChatGPT,B103,partially_correct,0,55,0.2592552019098496,1727,adequate,incorrect,incorrect,not_applicable,adequate,not_applicable,adequate,,Moderate,Moderate,,,,,0,2,0
C16,ChatICU,B072,fully_correct,0,88,0.3330981548178987,1637,adequate,adequate,adequate,not_applicable,adequate,not_applicable,adequate,,,,,,,,1,1,0
C16,OpenEvidence,B033,partially_correct,0,55,0.2253003044236703,3276,incorrect,adequate,incorrect,not_applicable,adequate,adequate,adequate,Mild,,Moderate,,,,,2,2,0
E1,ChatGPT,B008,partially_correct,1,45,0.2682064476701385,1481,unsafe,not_applicable,incorrect,adequate,incorrect,incorrect,incorrect,Severe,,Moderate,,Mild,Mild,Moderate,2,2,2
