question_id,system,blind_id,mention_id,mention_type,drug,class,severity_label
23,ChatGPT,B109,B109-M01,stated,鎮靜藥物(未指名),imprecise,
23,ChatGPT,B109,B109-O01,omitted,鎮靜藥物(未指名，如常用之propofol/dexmedetomidine等),omitted_but_needed,
23,ChatICU,B180,B180-M01,stated,鎮靜藥物（未指名）,imprecise,
23,OpenEvidence,B136,B136-M01,stated,鎮靜藥物（一般）,imprecise,
23,OpenEvidence,B136,B136-O01,omitted,鎮靜藥物（一般）,omitted_but_needed,
25,ChatGPT,B122,B122-M01,stated,NMBA(未指名),correct,
25,ChatGPT,B122,B122-O01,omitted,NMBA(未指名),omitted_but_needed,
25,ChatGPT,B122,B122-O02,omitted,NMBA(未指名),omitted_but_needed,
25,ChatICU,B056,B056-M01,stated,NMBA（機械通氣策略相關）,correct,
25,ChatICU,B056,B056-M02,stated,NMBA（適應症條件）,correct,
25,ChatICU,B056,B056-M03,stated,鎮靜深度（NMBA使用前提）,correct,
25,OpenEvidence,B027,B027-M01,stated,NMBA（未指名藥物）,imprecise,
25,OpenEvidence,B027,B027-M02,stated,NMBA（未指名藥物）,imprecise,
25,OpenEvidence,B027,B027-M03,stated,NMBA（未指名藥物）,imprecise,
26,ChatGPT,B187,B187-M01,stated,dexmedetomidine,correct,
26,ChatGPT,B187,B187-M02,stated,dexmedetomidine,correct,
26,ChatGPT,B187,B187-M03,stated,dexmedetomidine,correct,
26,ChatGPT,B187,B187-O01,omitted,dexmedetomidine,omitted_but_needed,
26,ChatICU,B037,B037-M01,stated,dexmedetomidine,correct,
26,ChatICU,B037,B037-M02,stated,dexmedetomidine,correct,
26,ChatICU,B037,B037-M03,stated,dexmedetomidine,correct,
26,ChatICU,B037,B037-M04,stated,dexmedetomidine,correct,
26,OpenEvidence,B061,B061-M01,stated,dexmedetomidine,correct,
27,ChatGPT,B199,B199-M01,stated,rocuronium,correct,
27,ChatGPT,B199,B199-M02,stated,rocuronium,incorrect,Mild
27,ChatGPT,B199,B199-M03,stated,rocuronium,imprecise,
27,ChatGPT,B199,B199-M04,stated,vecuronium,imprecise,
27,ChatGPT,B199,B199-M05,stated,vecuronium,imprecise,
27,ChatGPT,B199,B199-O01,omitted,rocuronium,omitted_but_needed,
27,ChatGPT,B199,B199-O02,omitted,rocuronium,omitted_but_needed,
27,ChatGPT,B199,B199-O03,omitted,rocuronium,omitted_but_needed,
27,ChatGPT,B199,B199-O04,omitted,sugammadex/neostigmine等,omitted_but_needed,
27,ChatICU,B150,B150-M01,stated,rocuronium,correct,
27,ChatICU,B150,B150-M02,stated,rocuronium,correct,
27,ChatICU,B150,B150-M03,stated,rocuronium,correct,
27,ChatICU,B150,B150-M04,stated,rocuronium,imprecise,
27,ChatICU,B150,B150-M05,stated,rocuronium,correct,
27,ChatICU,B150,B150-M06,stated,rocuronium,correct,
27,ChatICU,B150,B150-M07,stated,sugammadex,unsafe,Moderate
27,ChatICU,B150,B150-O01,omitted,rocuronium,omitted_but_needed,
27,ChatICU,B150,B150-O02,omitted,rocuronium,omitted_but_needed,
27,ChatICU,B150,B150-O03,omitted,sugammadex/neostigmine/edrophonium/pyridostigmine,omitted_but_needed,
27,ChatICU,B150,B150-O04,omitted,rocuronium,omitted_but_needed,
27,ChatICU,B150,B150-O05,omitted,rocuronium,omitted_but_needed,
27,OpenEvidence,B189,B189-M01,stated,Atracurium,incorrect,Mild
27,OpenEvidence,B189,B189-M02,stated,Atracurium,incorrect,Mild
27,OpenEvidence,B189,B189-M03,stated,Vecuronium,incorrect,Mild
27,OpenEvidence,B189,B189-M04,stated,Vecuronium,incorrect,Mild
27,OpenEvidence,B189,B189-O01,omitted,rocuronium,omitted_but_needed,
27,OpenEvidence,B189,B189-O02,omitted,rocuronium,omitted_but_needed,
27,OpenEvidence,B189,B189-O03,omitted,rocuronium,omitted_but_needed,
27,OpenEvidence,B189,B189-O04,omitted,rocuronium,omitted_but_needed,
27,OpenEvidence,B189,B189-O05,omitted,sugammadex/neostigmine等,omitted_but_needed,
28,ChatGPT,B201,B201-O01,omitted,NMBA（一般性）,omitted_but_needed,
28,ChatICU,B025,B025-O01,omitted,疾病因素（Myasthenia gravis、ALS、Poliomyelitis、Multiple sclerosis、Lambert-Eaton症候群）,omitted_but_needed,
28,ChatICU,B025,B025-O02,omitted,脫髓鞘病變/燒傷/嚴重外傷,omitted_but_needed,
28,OpenEvidence,B202,B202-O01,omitted,amlodipine/diltiazem/verapamil/nimodipine/nicardipine（鈣離子拮抗劑）,omitted_but_needed,
28,OpenEvidence,B202,B202-O02,omitted,低血鈣,omitted_but_needed,
28,OpenEvidence,B202,B202-O03,omitted,amphotericin B/colistin/lincosamides/polymyxin B,omitted_but_needed,
29,ChatGPT,B069,B069-O01,omitted,midazolam,omitted_but_needed,
29,ChatICU,B193,B193-M01,stated,midazolam,imprecise,
29,ChatICU,B193,B193-M02,stated,midazolam,imprecise,
29,ChatICU,B193,B193-M03,stated,midazolam,imprecise,
29,ChatICU,B193,B193-M04,stated,midazolam,imprecise,
29,ChatICU,B193,B193-M05,stated,midazolam,imprecise,
29,OpenEvidence,B091,B091-M01,stated,midazolam,unsafe,Moderate
29,OpenEvidence,B091,B091-O01,omitted,midazolam,omitted_but_needed,
29,OpenEvidence,B091,B091-O02,omitted,midazolam,omitted_but_needed,
30,ChatGPT,B095,B095-O01,omitted,ECMO oxygenator吸附,omitted_but_needed,
30,ChatICU,B087,B087-M01,stated,morphine,imprecise,
30,ChatICU,B087,B087-M02,stated,propofol,imprecise,
30,OpenEvidence,B018,B018-O01,omitted,全部藥物,omitted_but_needed,
30,OpenEvidence,B018,B018-O02,omitted,全部藥物（ECMO情境）,omitted_but_needed,
31,ChatGPT,B049,B049-M01,stated,Fentanyl,correct,
31,ChatGPT,B049,B049-M02,stated,Propofol,correct,
31,ChatGPT,B049,B049-M03,stated,Midazolam,correct,
31,ChatGPT,B049,B049-M04,stated,Lorazepam,correct,
31,ChatGPT,B049,B049-M05,stated,Haloperidol,correct,
31,ChatGPT,B049,B049-M06,stated,Dexmedetomidine,correct,
31,ChatGPT,B049,B049-M07,stated,Morphine,correct,
31,ChatGPT,B049,B049-O01,omitted,high protein binding藥物（整體）,omitted_but_needed,
31,ChatICU,B007,B007-M01,stated,fentanyl,correct,
31,ChatICU,B007,B007-M02,stated,propofol,correct,
31,ChatICU,B007,B007-M03,stated,dexmedetomidine,correct,
31,ChatICU,B007,B007-M04,stated,midazolam,correct,
31,ChatICU,B007,B007-M05,stated,lorazepam,correct,
31,ChatICU,B007,B007-M06,stated,haloperidol,correct,
31,ChatICU,B007,B007-M07,stated,cisatracurium,imprecise,
31,ChatICU,B007,B007-M08,stated,morphine,correct,
31,ChatICU,B007,B007-M09,stated,白蛋白,imprecise,
31,ChatICU,B007,B007-O01,omitted,phenytoin/valproate/NSAIDs與鎮靜止痛藥併用,omitted_but_needed,
31,OpenEvidence,B134,B134-O01,omitted,dexmedetomidine,omitted_but_needed,
31,OpenEvidence,B134,B134-O02,omitted,（透析清除相關說明）,omitted_but_needed,
32,ChatGPT,B098,B098-M01,stated,Dexmedetomidine,correct,
32,ChatGPT,B098,B098-O01,omitted,Cisatracurium,omitted_but_needed,
32,ChatGPT,B098,B098-O02,omitted,Rocuronium,omitted_but_needed,
32,ChatGPT,B098,B098-O03,omitted,Fentanyl,omitted_but_needed,
32,ChatGPT,B098,B098-O04,omitted,Morphine,omitted_but_needed,
32,ChatGPT,B098,B098-O05,omitted,Midazolam,omitted_but_needed,
32,ChatGPT,B098,B098-O06,omitted,Lorazepam,omitted_but_needed,
32,ChatGPT,B098,B098-O07,omitted,Propofol,omitted_but_needed,
32,ChatGPT,B098,B098-O08,omitted,Haloperidol,omitted_but_needed,
32,ChatGPT,B098,B098-O09,omitted,Cisatracurium,omitted_but_needed,
32,ChatGPT,B098,B098-O10,omitted,Rocuronium,omitted_but_needed,
32,ChatGPT,B098,B098-O11,omitted,Propofol,omitted_but_needed,
32,ChatICU,B146,B146-M01,stated,Cisatracurium,correct,
32,ChatICU,B146,B146-M02,stated,Rocuronium,correct,
32,ChatICU,B146,B146-M03,stated,Fentanyl,imprecise,
32,ChatICU,B146,B146-M04,stated,Morphine,correct,
32,ChatICU,B146,B146-M05,stated,Propofol,correct,
32,ChatICU,B146,B146-M06,stated,Dexmedetomidine,imprecise,
32,ChatICU,B146,B146-M07,stated,Midazolam,imprecise,
32,ChatICU,B146,B146-M08,stated,Lorazepam,incorrect,Mild
32,ChatICU,B146,B146-M09,stated,Haloperidol,incorrect,Mild
32,ChatICU,B146,B146-O01,omitted,Dexmedetomidine,omitted_but_needed,
32,ChatICU,B146,B146-O02,omitted,Rocuronium,omitted_but_needed,
32,OpenEvidence,B060,B060-O01,omitted,Cisatracurium,omitted_but_needed,
32,OpenEvidence,B060,B060-O02,omitted,Rocuronium,omitted_but_needed,
32,OpenEvidence,B060,B060-O03,omitted,Fentanyl,omitted_but_needed,
32,OpenEvidence,B060,B060-O04,omitted,Morphine,omitted_but_needed,
32,OpenEvidence,B060,B060-O05,omitted,Midazolam,omitted_but_needed,
32,OpenEvidence,B060,B060-O06,omitted,Lorazepam,omitted_but_needed,
32,OpenEvidence,B060,B060-O07,omitted,Propofol,omitted_but_needed,
32,OpenEvidence,B060,B060-O08,omitted,Dexmedetomidine,omitted_but_needed,
32,OpenEvidence,B060,B060-O09,omitted,Haloperidol,omitted_but_needed,
33,ChatGPT,B019,B019-M01,stated,鎮靜劑（未指名）,correct,
33,ChatGPT,B019,B019-O01,omitted,benzodiazepines/propofol（DSI重新啟動時）,omitted_but_needed,
33,ChatICU,B062,B062-M01,stated,鎮靜劑（未指定特定藥物）,correct,
33,OpenEvidence,B114,B114-O01,omitted,benzodiazepines/propofol（DSI重新啟動時）,omitted_but_needed,
34,ChatGPT,B004,B004-M01,stated,Lorazepam,imprecise,
34,ChatGPT,B004,B004-M02,stated,Lorazepam,correct,
34,ChatGPT,B004,B004-O01,omitted,Lorazepam,omitted_but_needed,
34,ChatGPT,B004,B004-O02,omitted,Lorazepam,omitted_but_needed,
34,ChatGPT,B004,B004-O03,omitted,Lorazepam,omitted_but_needed,
34,ChatICU,B093,B093-M01,stated,Lorazepam,correct,
34,ChatICU,B093,B093-M02,stated,Lorazepam,correct,
34,ChatICU,B093,B093-M03,stated,Lorazepam,correct,
34,ChatICU,B093,B093-M04,stated,Lorazepam,imprecise,
34,ChatICU,B093,B093-M05,stated,Lorazepam,correct,
34,ChatICU,B093,B093-M06,stated,Lorazepam,unsafe,Moderate
34,ChatICU,B093,B093-M07,stated,Lorazepam,imprecise,
34,ChatICU,B093,B093-O01,omitted,Lorazepam,omitted_but_needed,
34,OpenEvidence,B106,B106-M01,stated,Lorazepam,correct,
34,OpenEvidence,B106,B106-M02,stated,Lorazepam,correct,
34,OpenEvidence,B106,B106-M03,stated,Lorazepam,correct,
34,OpenEvidence,B106,B106-M04,stated,Lorazepam,imprecise,
34,OpenEvidence,B106,B106-M05,stated,Lorazepam,incorrect,Mild
34,OpenEvidence,B106,B106-O01,omitted,Lorazepam,omitted_but_needed,
34,OpenEvidence,B106,B106-O02,omitted,Lorazepam,omitted_but_needed,
34,OpenEvidence,B106,B106-O03,omitted,Lorazepam,omitted_but_needed,
35,ChatGPT,B194,B194-M01,stated,Morphine,imprecise,
35,ChatGPT,B194,B194-M02,stated,Morphine,unsafe,Moderate
35,ChatGPT,B194,B194-M03,stated,Morphine,imprecise,
35,ChatGPT,B194,B194-O01,omitted,Morphine,omitted_but_needed,
35,ChatGPT,B194,B194-O02,omitted,Morphine,omitted_but_needed,
35,ChatGPT,B194,B194-O03,omitted,Morphine,omitted_but_needed,
35,ChatGPT,B194,B194-O04,omitted,Morphine,omitted_but_needed,
35,ChatICU,B001,B001-M01,stated,Morphine,correct,
35,ChatICU,B001,B001-M02,stated,Morphine,correct,
35,ChatICU,B001,B001-M03,stated,Morphine,correct,
35,ChatICU,B001,B001-M04,stated,Morphine,correct,
35,ChatICU,B001,B001-O01,omitted,Morphine,omitted_but_needed,
35,ChatICU,B001,B001-O02,omitted,Morphine,omitted_but_needed,
35,OpenEvidence,B066,B066-M01,stated,Morphine,imprecise,
35,OpenEvidence,B066,B066-M02,stated,Morphine,imprecise,
35,OpenEvidence,B066,B066-M03,stated,Morphine,correct,
35,OpenEvidence,B066,B066-O01,omitted,Morphine,omitted_but_needed,
35,OpenEvidence,B066,B066-O02,omitted,Morphine,omitted_but_needed,
35,OpenEvidence,B066,B066-O03,omitted,Morphine,omitted_but_needed,
35,OpenEvidence,B066,B066-O04,omitted,Morphine,omitted_but_needed,
36,ChatGPT,B099,B099-M01,stated,Ketamine,imprecise,
36,ChatGPT,B099,B099-O01,omitted,Ketamine（止痛用）,omitted_but_needed,
36,ChatGPT,B099,B099-O02,omitted,Ketamine（鎮靜用）,omitted_but_needed,
36,ChatICU,B083,B083-M01,stated,Ketamine,correct,
36,ChatICU,B083,B083-M02,stated,Ketamine,correct,
36,ChatICU,B083,B083-M03,stated,Ketamine,correct,
36,ChatICU,B083,B083-M04,stated,Ketamine,correct,
36,ChatICU,B083,B083-M05,stated,Midazolam,imprecise,
36,ChatICU,B083,B083-M06,stated,Glycopyrrolate,imprecise,
36,OpenEvidence,B043,B043-M01,stated,Ketamine,correct,
36,OpenEvidence,B043,B043-M02,stated,Ketamine,incorrect,Moderate
36,OpenEvidence,B043,B043-O01,omitted,Ketamine（鎮靜適應症）,omitted_but_needed,
37,ChatGPT,B117,B117-M01,stated,NMBA (TOF),correct,
37,ChatGPT,B117,B117-M02,stated,鎮靜目標 (RASS),imprecise,
37,ChatGPT,B117,B117-O01,omitted,Propofol,omitted_but_needed,
37,ChatGPT,B117,B117-O02,omitted,Dexmedetomidine,omitted_but_needed,
37,ChatICU,B029,B029-M01,stated,Propofol,imprecise,
37,ChatICU,B029,B029-M02,stated,腦灌注壓 (CPP),correct,
37,ChatICU,B029,B029-M03,stated,ICP監測閾值,correct,
37,ChatICU,B029,B029-M04,stated,NMBA暫停頻率(TOF監測),imprecise,
37,ChatICU,B029,B029-O01,omitted,Propofol,omitted_but_needed,
37,ChatICU,B029,B029-O02,omitted,Dexmedetomidine,omitted_but_needed,
37,ChatICU,B029,B029-O03,omitted,Midazolam,omitted_but_needed,
37,OpenEvidence,B110,B110-O01,omitted,Propofol,omitted_but_needed,
37,OpenEvidence,B110,B110-O02,omitted,Dexmedetomidine,omitted_but_needed,
37,OpenEvidence,B110,B110-O03,omitted,Midazolam,omitted_but_needed,
37,OpenEvidence,B110,B110-O04,omitted,NMBA使用前鎮靜深度,omitted_but_needed,
C1,ChatICU,B166,B166-M01,stated,BPS/CPOT評估分數(非藥物劑量),correct,
C1,OpenEvidence,B156,B156-M01,stated,芬太尼 (fentanyl),imprecise,
C1,OpenEvidence,B156,B156-M02,stated,芬太尼 (fentanyl),unsafe,Severe
C1,OpenEvidence,B156,B156-O01,omitted,鴉片類止痛藥（如fentanyl/morphine等）,omitted_but_needed,
C1,OpenEvidence,B156,B156-O02,omitted,鎮靜劑,omitted_but_needed,
C2,ChatGPT,B196,B196-M01,stated,fentanyl,correct,
C2,ChatGPT,B196,B196-M02,stated,fentanyl,correct,
C2,ChatGPT,B196,B196-M03,stated,fentanyl,correct,
C2,ChatGPT,B196,B196-M04,stated,fentanyl,imprecise,
C2,ChatGPT,B196,B196-M05,stated,fentanyl,imprecise,
C2,ChatGPT,B196,B196-O01,omitted,fentanyl,omitted_but_needed,
C2,ChatGPT,B196,B196-O02,omitted,fentanyl,omitted_but_needed,
C2,ChatICU,B086,B086-M01,stated,fentanyl,correct,
C2,ChatICU,B086,B086-M02,stated,fentanyl,correct,
C2,ChatICU,B086,B086-M03,stated,fentanyl,correct,
C2,ChatICU,B086,B086-M04,stated,fentanyl,imprecise,
C2,ChatICU,B086,B086-O01,omitted,fentanyl,omitted_but_needed,
C2,OpenEvidence,B135,B135-M01,stated,fentanyl,correct,
C2,OpenEvidence,B135,B135-M02,stated,fentanyl,imprecise,
C2,OpenEvidence,B135,B135-M03,stated,fentanyl,imprecise,
C2,OpenEvidence,B135,B135-M04,stated,fentanyl,imprecise,
C2,OpenEvidence,B135,B135-O01,omitted,fentanyl,omitted_but_needed,
C2,OpenEvidence,B135,B135-O02,omitted,fentanyl,omitted_but_needed,
C2,OpenEvidence,B135,B135-O03,omitted,fentanyl,omitted_but_needed,
C2,OpenEvidence,B135,B135-O04,omitted,fentanyl,omitted_but_needed,
C3,ChatGPT,B111,B111-M01,stated,Dexmedetomidine,imprecise,
C3,ChatGPT,B111,B111-M02,stated,Dexmedetomidine,correct,
C3,ChatGPT,B111,B111-M03,stated,Dexmedetomidine,incorrect,Mild
C3,ChatGPT,B111,B111-O01,omitted,多模式止痛策略,omitted_but_needed,
C3,ChatGPT,B111,B111-O02,omitted,Dexmedetomidine,omitted_but_needed,
C3,ChatGPT,B111,B111-O03,omitted,Dexmedetomidine,omitted_but_needed,
C3,ChatICU,B003,B003-M01,stated,Fentanyl,correct,
C3,ChatICU,B003,B003-M02,stated,Dexmedetomidine,correct,
C3,ChatICU,B003,B003-M03,stated,Dexmedetomidine (Precedex),correct,
C3,ChatICU,B003,B003-M04,stated,Dexmedetomidine,imprecise,
C3,ChatICU,B003,B003-O01,omitted,Dexmedetomidine (以調整體重61 kg計算),omitted_but_needed,
C3,OpenEvidence,B041,B041-M01,stated,Fentanyl,unsafe,Moderate
C3,OpenEvidence,B041,B041-M02,stated,Propofol,unsafe,Severe
C3,OpenEvidence,B041,B041-M03,stated,Dexmedetomidine,correct,
C3,OpenEvidence,B041,B041-M04,stated,Dexmedetomidine,imprecise,
C3,OpenEvidence,B041,B041-M05,stated,Dexmedetomidine,incorrect,Mild
C3,OpenEvidence,B041,B041-O01,omitted,Dexmedetomidine,omitted_but_needed,
C3,OpenEvidence,B041,B041-O02,omitted,Precedex配置,omitted_but_needed,
C3,OpenEvidence,B041,B041-O03,omitted,RASS目標,omitted_but_needed,
C4,ChatGPT,B002,B002-M01,stated,propofol,correct,
C4,ChatGPT,B002,B002-M02,stated,midazolam,imprecise,
C4,ChatGPT,B002,B002-M03,stated,dexmedetomidine,imprecise,
C4,ChatGPT,B002,B002-O01,omitted,atropine,omitted_but_needed,
C4,ChatICU,B096,B096-M01,stated,atropine,correct,
C4,ChatICU,B096,B096-M02,stated,crystalloid輸液,correct,
C4,ChatICU,B096,B096-M03,stated,phenylephrine,correct,
C4,ChatICU,B096,B096-M04,stated,norepinephrine,imprecise,
C4,ChatICU,B096,B096-M05,stated,propofol,correct,
C4,OpenEvidence,B070,B070-M01,stated,dexmedetomidine,imprecise,
C6,ChatGPT,B046,B046-M01,stated,fentanyl,imprecise,
C6,ChatGPT,B046,B046-M02,stated,propofol,imprecise,
C6,ChatGPT,B046,B046-M03,stated,midazolam,correct,
C6,OpenEvidence,B042,B042-O01,omitted,propofol/midazolam（鎮靜整體目標）,omitted_but_needed,
C6,OpenEvidence,B042,B042-O02,omitted,propofol,omitted_but_needed,
C7,ChatGPT,B024,B024-M01,stated,Cisatracurium,correct,
C7,OpenEvidence,B164,B164-M01,stated,Cisatracurium,imprecise,
C8,ChatGPT,B176,B176-M01,stated,cisatracurium,incorrect,Moderate
C8,ChatGPT,B176,B176-M02,stated,cisatracurium,correct,
C8,ChatGPT,B176,B176-M03,stated,cisatracurium,imprecise,
C8,ChatGPT,B176,B176-M04,stated,cisatracurium,imprecise,
C8,ChatGPT,B176,B176-M05,stated,cisatracurium,incorrect,Moderate
C8,ChatGPT,B176,B176-M06,stated,cisatracurium,incorrect,Moderate
C8,ChatGPT,B176,B176-O01,omitted,cisatracurium,omitted_but_needed,
C8,ChatGPT,B176,B176-O02,omitted,cisatracurium,omitted_but_needed,
C8,ChatGPT,B176,B176-O03,omitted,cisatracurium,omitted_but_needed,
C8,ChatGPT,B176,B176-O04,omitted,cisatracurium,omitted_but_needed,
C8,ChatICU,B200,B200-M01,stated,cisatracurium,correct,
C8,ChatICU,B200,B200-M02,stated,cisatracurium,correct,
C8,ChatICU,B200,B200-M03,stated,cisatracurium,correct,
C8,ChatICU,B200,B200-M04,stated,cisatracurium,correct,
C8,ChatICU,B200,B200-M05,stated,cisatracurium,incorrect,Mild
C8,ChatICU,B200,B200-M06,stated,cisatracurium,incorrect,Mild
C8,ChatICU,B200,B200-M07,stated,cisatracurium,correct,
C8,OpenEvidence,B151,B151-M01,stated,cisatracurium,unsafe,Severe
C8,OpenEvidence,B151,B151-M02,stated,cisatracurium,unsafe,Severe
C8,OpenEvidence,B151,B151-M03,stated,cisatracurium,imprecise,
C8,OpenEvidence,B151,B151-M04,stated,cisatracurium,incorrect,Moderate
C8,OpenEvidence,B151,B151-M05,stated,cisatracurium,unsafe,Severe
C8,OpenEvidence,B151,B151-M06,stated,cisatracurium,unsafe,Severe
C8,OpenEvidence,B151,B151-O01,omitted,cisatracurium,omitted_but_needed,
C8,OpenEvidence,B151,B151-O02,omitted,cisatracurium,omitted_but_needed,
